назва ,опис,дата
Завершення 2024/2025 навчального року в Україні,"Навчальний рік в Україні триває з 2 вересня 2024 до 30 червня 2025, але ця дата є граничною. За законодавством, кожна школа має автономію: педагогічна рада сама обирає дати завершення занять, канікул, останнього дзвоника. У виборі враховуються безпека (повітряні тривоги), потреби учнів, психоемоційний стан через війну. Чернівецькі школи вже завершили навчання раніше, інші планують охопити всі активності до кінця червня",23 липня 2024
Добірка освітніх подій від НУШ за 2–8 червня 2025,"За тиждень було багато важливого: Верховна Рада підтримала нову модель фінансування молодіжної політики; Кабмін затвердив програму протидії насильству над дітьми; МОН готує систему підвищення кваліфікації, відкриває платформу українознавчого компоненту для дітей за кордоном, поширює безкоштовне харчування, готує профільні школи на два роки. Крім того — оновлення шкіл на Київщині, професійних майстерень та профорієнтаційні ініціативи з НМТ",8 червня 2025
Реформа освітніх програм: закриття сільських шкіл,"З 1 вересня 2025 уряд не фінансуватиме зарплати вчителям у школах, де менше 45 учнів (5‑11 класи), а з 2026 — менш як 60. Потім і початкові. Громади мусять або підтримати школи власним коштом, або переводити учнів до опорних закладів. Зазначено, що через малочисельність створюються класи поєднаного типу, діти не мають однакового освітнього середовища, нестача вчителів, відповідальність падає на громади.",18 березня 2025
Не заважайте школам готуватись до нового року,"Автор статті — директорка з Києва — наголошує: для успішної підготовки до вересня школи мають час і ресурси, а не постійні нормативні зміни «завтра». Проводять SWOT-аналіз, зустрічі адміністрацій, обговорення висновків. Цього року не передбачено суттєвих змін — це надає можливості для спокійного планування замість екстрених дій. .",22 травня 2025
"Популяризація STEM‑освіти, нові садочки та книгообмін","Платформа Abitly.org запустила ініціативу ""Будуй майбутнє"": довідник STEM‑спеціальностей, живі відгуки студентів, онлайн-калькулятор конкурсного балу НМТ. Дві нові спеціалізації запровадив ВІКНУ: «Організація опору» та «Зв’язки з громадськістю у ЗСУ». Планується вебінар із замміністра про сімейні й мобільні садочки. Також — обмін книгами у Львові, Житомирі, Дніпрі до 11 серпня.",10 грудня 2024
Закон про професійну освіту 2025: ключові зміни,"Відтепер професійно‑технічні заклади мають фінансову автономію (штатні розписи, зарплати). Запроваджується дуальна освіта на базі підприємств — з грантами. Відбудеться передача управління наглядовим радам, участь бізнесу. Програми професійної освіти розроблятимуть заклади разом із роботодавцями. Ліцензування стане простішим, зосередяться на партнерстві й актуальності освітніх програм.",4 квітня 2025
Три проблеми освіти на тимчасово окупованих територіях (ТОТ),"На ТОТ педагогічний патронаж не має чіткого механізму оплати, кількість дітей для дистанційних класів падає, а звʼязок між вчителем і дитиною втрачається через боязнь викриття. МОН вирішило: один клас із будь-якою кількістю учнів — можливий. Патронаж оплачується за ставками (5–12 годин/тиждень залежно від класу). Освітяни мають можливість продовжувати викладати й залишатись у системі.",27 лютого 2025
МОН готує трансформації на 2025/2026 навчальний рік,"У 2025 році запускається нова система підвищення кваліфікації: «кошти ходять за вчителем», педагог сам вибирає програму та отримує фінансування. У вересні пілотно буде оновлено зміст для 5–6 класів (природничі, технологічні, мистецькі галузі) в рамках концепції «Освіта для життя».",15 листопада 2024
Скасування державної атестації і нові підходи у підручниках,"Закон №4034‑IX скасував ДПА у 2025 році: учні 4, 9, 11 класів автоматично переходять з отриманням відповідного свідоцтва без медалей (лише «з відзнакою» 10–12 балів). Особливий порядок — для дітей за кордоном. Крім того, МОН оновлює підхід до створення підручників: від формування авторських колективів до експертизи й конкурсів. .",9 січня 2025
Реформи шкіл‑амбасадорів та академічних ліцеїв,"30 закладів стануть амбасадорами пілоту профільної старшої школи у вересні 2025. У 2026 пілот розшириться, а до 2027 — академічні ліцеї працюватимуть по всій країні з вибором профілів/курсів. Також готується проект апеляційної комісії щодо результатів сертифікації вчителів. .",1 червня 2025
