Назва університету,City,Region,Код спеціальності,Назва спеціальності та освітньої програми,Description-specialty,Вартість навчання
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,A4,Середня освіта (Угорська мова та зарубіжна література),,15000
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,A4,Середня освіта (Українська мова і література),,15000
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,A2,Дошкільна освіта,,16000
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,A4,Середня освіта (Математика),,16000
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,A4,Середня освіта (Біологія та здоров’я людини),,16850
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,A4,Середня освіта (Географія),,16850
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,A4,Середня освіта (Хімія),,16850
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,A3,Початкова освіта,,17000
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,A4,Середня освіта (Історія та громадянська освіта),,17000
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,D1,Облік і оподаткування,,18750
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,K4,Туризм та рекреація,,20500
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,A4,Середня освіта (Англійська мова та зарубіжна література),,22500
Білоцерківський національний аграрний університет,Біла Церква,Київська,H1,Агрономія,,23900
Білоцерківський національний аграрний університет,Біла Церква,Київська,G21,Біотехнології та біоінженерія,,23900
Білоцерківський національний аграрний університет,Біла Церква,Київська,H5,Водні біоресурси та аквакультура,,23900
Білоцерківський національний аграрний університет,Біла Церква,Київська,G18,Геодезія та землеустрій,,23900
Білоцерківський національний аграрний університет,Біла Церква,Київська,E2,Екологія,,23900
Білоцерківський національний аграрний університет,Біла Церква,Київська,H4,Лісове господарство,,23900
Білоцерківський національний аграрний університет,Біла Церква,Київська,H3,Садово-паркове господарство,,23900
Білоцерківський національний аграрний університет,Біла Церква,Київська,H4,Технологія виробництва та переробки продукції тваринництва,,23900
Білоцерківський національний аграрний університет,Біла Церква,Київська,G13,Харчові технології,,23900
Білоцерківський національний аграрний університет,Біла Церква,Київська,C1,Економіка,,25900
Білоцерківський національний аграрний університет,Біла Церква,Київська,G4,"Електроенергетика, електротехніка та електромеханіка",,25900
Білоцерківський національний аграрний університет,Біла Церква,Київська,D5,Маркетинг,,25900
Білоцерківський національний аграрний університет,Біла Церква,Київська,D3,Менеджмент,,25900
Білоцерківський національний аграрний університет,Біла Церква,Київська,D1,Облік і оподаткування,,25900
Білоцерківський національний аграрний університет,Біла Церква,Київська,D3,"Підприємництво, торгівля та біржова діяльність",,25900
Білоцерківський національний аграрний університет,Біла Церква,Київська,D8,Право,,25900
Білоцерківський національний аграрний університет,Біла Церква,Київська,C4,Психологія,,25900
Білоцерківський національний аграрний університет,Біла Церква,Київська,D4,Публічне управління та адміністрування,,25900
Білоцерківський національний аграрний університет,Біла Церква,Київська,B11,Філологія (англійська мова та література),,25900
Білоцерківський національний аграрний університет,Біла Церква,Київська,D2,"Фінанси, банківська справа та страхування",,25900
Буковинський державний медичний університет,Чернівці,Чернівецька,I2,Медична психологія,,31900
Буковинський державний медичний університет,Чернівці,Чернівецька,I5,Медсестринство,,31900
Буковинський державний медичний університет,Чернівці,Чернівецька,I7,Терапія та реабілітація,,31900
Буковинський державний медичний університет,Чернівці,Чернівецька,I4,Технології медичної діагностики та лікування,,31900
Буковинський державний медичний університет,Чернівці,Чернівецька,I6,"Фармація, промислова фармація",,35000
Буковинський державний медичний університет,Чернівці,Чернівецька,I2,Медицина,,55000
Буковинський державний медичний університет,Чернівці,Чернівецька,I1,Стоматологія,,58000
"Вищий навчальний заклад ""Міжнародний технологічний університет ""Миколаївська політехніка""",Миколаїв,Миколаївська,K9,Автомобільний транспорт,,18000
"Вищий навчальний заклад ""Міжнародний технологічний університет ""Миколаївська політехніка""",Миколаїв,Миколаївська,F7,Комп’ютерна інженерія,,18000
"Вищий навчальний заклад ""Міжнародний технологічний університет ""Миколаївська політехніка""",Миколаїв,Миколаївська,D1,Облік і оподаткування,,18000
"Вищий навчальний заклад ""Міжнародний технологічний університет ""Миколаївська політехніка""",Миколаїв,Миколаївська,D2,"Фінанси, банківська справа та страхування",,18000
"Вищий навчальний заклад ""Університет імені Альфреда Нобеля""",Дніпро,Дніпропетровська,F3,Комп’ютерні науки,,62000
"Вищий навчальний заклад ""Університет імені Альфреда Нобеля""",Дніпро,Дніпропетровська,D5,Маркетинг,,62000
