Name,City,Region,Description,Phone,Email,Sort,Link,Military
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,"18 жовтня 1993 року на спільному зібранні керівного складу Товариства угорської культури Закарпаття та Закарпатського угорськомовного педагогічного товариства було ухвалено рішення про створення вищого навчального закладу  для угорців Закарпаття умісті Берегово. За підтримкою товариства звернулися  до релігійних громад Закарпаття та депутатів Берегівської міської ради.
13 січня 1994 року був зареєстрований благодійний фонд «У підтримку Закарпатського угорського інституту», головною метою якого стало заснування закладу вищої освіти з угорською мовою навчання та забезпечення його діяльності. Засновниками фонду стали: Товариство угорської культури Закарпаття, Закарпатське угорськомовне педагогічне товариство, Закарпатська реформатська церква, Берегівська міська рада. Представники католицької та греко-католицької церков запевнили засновників фонду у своїй підтримці цього починання, але в той час через об’єктивні причини не змогли взяти участь у роботі фонду. Представники фонду звернулися з проханням про підтримку і допомогу в створенні вищого навчального закладу до Міністерства освіти і культури Угорщини, Бюро у справах закордонних угорців, Ніредьгазького педагогічного інститут імені Дєрдя Бешені. Фонд розробив статут інституту та пакет документів, необхідних для державної реєстрації, і подав їх до Міністерства освіти і науки України, щоб отримати дозвіл на відкриття ВНЗ. Того року дозвіл не було отримано.","+38(031)412-34-62, +38(031)412-45-80, +38(031)412-34-62",foiskola@kmf.uz.ua,Приватна,www.kmf.uz.ua,
Білоцерківський національний аграрний університет,Біла Церква,Київська,"Білоцерківський національний аграрний університет — сучасний освітньо-науковий центр, що готує висококваліфікованих конкурентоспроможних фахівців для сфери аграрного виробництва, надає освітні послуги відмінної якості, дотримується високих стандартів у своїй діяльності.
Освітянські традиції в університеті були закладені у ХVII ст. з часів утворення першого освітнього закладу, який з часом трансформувався у Білоцерківський НАУ.
Університет і вісім відокремлених структурних підрозділів — фахових коледжів — утворюють Регіональний університетський центр.
В теперішній час університет динамічно розвивається, у його структурі — шість факультетів, загальноуніверситетська кафедра здоров’я та фізичної рекреації, центр довузівської підготовки та Інститут післядипломної освіти.
БНАУ — багатопрофільний навчальний заклад, на шести факультетах якого навчається понад 5,5 тис. українських і іноземних студентів за 21 спеціальністю.
На 45 кафедрах університету працюють відомі вчені, досвідчені педагоги, серед яких академіки та члени-кореспонденти НААН, доктори наук, професори, кандидати наук, доценти.
У БНАУ створено належну матеріально-технічну базу для повноцінного забезпечення навчально-виховного процесу.
",(04563) 5-12-88,rector_bnau@btsau.edu.ua,Державна,http://btsau.edu.ua,
Буковинський державний медичний університет,Чернівці,Чернівецька,"Здійснюється підготовка науково-педагогічних кадрів в докторантурі за 6 спеціальностями та аспірантурі — за 27 спеціальностями.
Підготовку та випуск фахівців забезпечує потужний професорсько-викладацький склад університету, який на сьогодні налічує 711 науково-педагогічних працівника, серед яких 97 докторів наук, 74 професори, 417 кандидатів наук, 235 доцентів, 17 Заслужених лікарів України.
З метою покращення якості навчання та забезпечення прозорості навчального процесу в університеті впроваджено систему «Електронний журнал успішності» (ez.bsmu.edu.ua), за розробку якого університет був нагороджений дипломом на Національному виставковому конкурсі «Видатні науково-практичні досягнення в освіті».
В університеті функціонує сервер дистанційного навчання (moodle.bsmu.edu.ua), на якому розміщені електронні навчально-методичні матеріали з усіх дисциплін, які викладаються в університеті, у тому числі англійською мовою.",(0372) 55-37-54,office@bsmu.edu.ua,Державна,www.bsmu.edu.ua,
"Вищий навчальний заклад ""Міжнародний технологічний університет ""Миколаївська політехніка""",Миколаїв,Миколаївська,"Миколаївська філія як факультет культурно-освітньої роботи Київського державного інституту культури, розпочав свою роботу в 1971 році. З 1 лютого 1999 МФ КНУКіМ функціонує як окремий підрозділ у структурі Київського національного університету культури і мистецтв (ректор — Народний артист України, доктор педагогічних наук, професор М.М. Поплавський), який направляє здійснення наукової, освітньої та творчої роботи філії на університетському рівні.
У 1975 році філія випустив 189 перших фахівців, а сьогодні їх чисельність вимірюється тисячами. Більшість працівників сфери культури Миколаївської, Херсонської, Одеської, Кіровоградської, Черкаської областей — випускники філії КНУКіМ.
Основним профілем діяльності навчально-наукового закладу є підготовка фахівців соціально-культурної сфери.
Матеріальна база філії дозволяє забезпечити високоякісний навчальний процес. Філія має три навчальних корпуси з сучасними навчальними аудиторіями. Створено п'ять лабораторій комп'ютерної техніки з локальною комп'ютерною мережею та Інтернет -технологіями. При кожній кафедрі діють спеціалізовані навчальні лабораторії. Для студентів дизайну, образотворчого і декоративно- прикладного напрямку створені творчо- виробничі майстерні та художні студії. Діяльність музичних кафедр повністю забезпечена спеціалізованими аудиторіями, музичними інструментами і технічними засобами. Бібліотека філії налічує близько 90 тис. примірників наукової, навчальної та мистецтвознавчої літератури.","(0512) 56-44-34, (0512) 56-37-77",rector.npi@gmail.com,Приватна,http://mtu.mk.ua/,
"Вищий навчальний заклад ""Університет імені Альфреда Нобеля""",Дніпро,Дніпропетровська,"Університет імені Альфреда Нобеля (м. Дніпро) — приватний вищий навчальний заклад, один з провідних в Україні. Був заснований в 1993 році як «Дніпропетровська академія управління, бізнесу та права», але вже за декілька років виріс до статусу університету. В 2010 році за значний внесок у поширення Нобелівського руху та активну діяльність в розвитку освіти університет отримав ім’я Альфреда Нобеля. Український громадський діяч, доктор економічних наук, професор Борис Іванович Холод (03.01.1941 — 02.11.2021). Метою створення університету стало бажання Бориса Івановича давати сучасним студентам нові знання, які відповідають тим фундаментальним змінам, що відбуваються в світі в XXI столітті. Саме тому інновації — це те, чим пронизані всі процеси Університету ім. А. Нобеля впродовж всіх років його діяльності. ",+38 (0562) 31-24-50,info@duan.edu.ua,Приватний,www.duan.edu.ua,
Вінницький державний педагогічний університет імені Михайла Коцюбинського,Вінниця,Вінницька,"Нова освітньо-наукова програми «Менеджмент та підприємництво» та ОП «291 Міжнародні відносини, суспільні комунікації та регіональні студії». Якісна підготовка фахівців за педагогічними спеціальностями, та також спеціальності 061 Журналістика, 081 Право, 281 Публічне управління та адміністрування, 073 Менеджмент, 017 Фізична культура і спорт, 023 Образотворче мистецтво, декоративне мистецтво, реставрація, 024 Хореографія, 025 Музичне мистецтво, 035 Філологія, 053 Психологія, 091 Біологія та біохімія, 102 Хімія, 111 Математика, 227.01 Терапія та реабілітація (фізична терапія), 231 Соціальна робота, 242 Туризм і рекреація.
Вінницький державний педагогічний університет імені Михайла Коцюбинського — університет у місті Вінниця, який існує з 1912 року. Свою історію він розпочав з невеликого учительського інституту з трирічним терміном навчання, контингент студентів якого не перевищував 100 осіб.",+380 (432) 612812,info@vspu.edu.ua,Державна,www.vspu.edu.ua,
Вінницький національний аграрний університет,Вінниця,Вінницька,"Нині українська земля потребує кваліфікованих аграріїв, людей, які розуміють і поважають її. Саме таких фахівців готує у своїх стінах Вінницький національний аграрний університет.
ВНАУ – потужний осередок освіти і науки із сучасною матеріально-технічною базою, розлогою мережею філій та наукових центрів, широко відомий в Україні та за кордоном.
Університет має у своєму складі: 3 навчально-наукових інститути – агротехнологій та природокористування; економіки та управління; миру, соціальних комунікацій та реабілітації; 8 факультетів: агрономії, садівництва та захисту рослин; екології, лісівництва та садово-паркового господарства; економіки, інформаційних технологій та сфери обслуговування; обліку, фінансів та аудиту; менеджменту та права; інженерно-технологічний; технології виробництва, переробки та робототехніки у тваринництві; ветеринарної медицини.
До структури ВНАУ також входять:  Відокремлений структурний підрозділ ""Технологічно-промисловий фаховий коледж Вінницького національного аграрного університету"", Відокремлений структурний підрозділ ""Ладижинський фаховий коледж Вінницького національного аграрного університету"", Відокремлений структурний підрозділ ""Могилів-Подільський технолого-економічний фаховий коледж Вінницького національного аграрного університету"", Відокремлений структурний підрозділ ""Немирівський фаховий коледж будівництва, економіки та дизайну Вінницького національного аграрного університету"", Відокремлений структурний підрозділ ""Чернятинський фаховий коледж Вінницького національного аграрного університету"".
Аграрний університет здійснює  підготовку за багатоступеневою системою: адаптація випускників шкіл до навчання у виші, підготовка молодших спеціалістів, бакалаврів, магістрів, кандидатів і докторів наук, докторів філософії.","(0432) 437230, 560313;",rector@vsau.org,Державна,https://vsau.org,
Вінницький національний технічний університет,Вінниця,Вінницька,"Вінницький національний технічний університет (ВНТУ) створено Постановою Кабінету Міністрів України № 244 від 20.04.94 року на базі Вінницького політехнічного інституту, заснованого на державній формі власності і підпорядкованого Міністерству освіти і науки, молоді та спорту України. Указом Президента України № 868/2003 від 25 серпня 2003 року Університету надано статус національного.","(043)256-08-48, (043)232-57-18, (043)246-57-72",vntu@vntu.edu.ua,Державна,www.vntu.edu.ua,
"Волинський інститут імені В'ячеслава Липинського Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",Луцьк,Волинська,"До послуг студентів два комп'ютерних класи, бібліотека з читальним залом. Навчальні кабінети та лабораторії обладнані новітнім устаткуванням, що дає змогу використовувати в навчанні сучасні інформаційні технології, у тому числі комп'ютерну мережу Інтернет. Проводяться соціально-психологічні тренінги з ділового спілкування, надаються рекомендації з вибору спеціальностей для абітурієнтів, при цьому враховується індивідуальність особи, характер, інтереси та здібності.
Волинський інститут імені В'ячеслава Липинського приділяє велику увагу розвитку міжнародних зв'язків, тісно співпрацюючи з вищими навчальними закладами Польщі - Вища школа педагогіки і управління (м. Рики), Вища школа ім.Б.Янського, філія у Хелмі, Вища школа ім.Ромуальда Кудмінського у Варшаві (відділ у Стальовій Волі). Спільні науково-практичні конференції, наукові читання, Ювеналії (День студента у Польщі), мистецькі та літературні зустрічі є підтвердженням такої співпраці. ","(095) 384-24-82, (096) 054-52-44",maup_lutsk@ukr.net,Приватна,http://volyn.maup.com.ua,
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,"Волинський державний університет імені Лесі Українки засновано в 1993 році у зв’язку з реорганізацією Луцького педагогічного інституту імені Лесі Українки. Перший вищий навчальний заклад Волині — Луцький державний учительський інститут почав діяти 1940 року. Функціонування навчального закладу, перерване Другою світовою війною, відновлено в 1946 році. 25 вересня 1951 року на базі Луцького державного учительського інституту створено Луцький державний педагогічний інститут, якому в 1952 році присвоєно ім'я видатної української письменниці, інтелектуалки Лесі Українки. На той час у ЗВО було два факультети: історико-філологічний та фізико-математичний. 1959 року розпочав роботу факультет підготовки вчителів початкових класів, у 1962 — факультет фізичного виховання, у 1975 — природничо-географічний факультет, у 1981 — факультет підвищення кваліфікації керівників шкіл (з 1993-го — факультет післядипломної освіти).
У 1969 році історико-філологічний факультет реорганізовано в історичний та філологічний факультети.",0-(332) 24-00-18,post@vnu.edu.ua,Державна,vnu.edu.ua,
